,product_url,overall_ratings,is_vegan,is_cruelty_free,award_wins,is_clean_product,has_clinical_results,has_alcohol,price,sizing_options_count,image_count,video_count,combination_skin_type,dry_skin_type,normal_skin_type,oily_skin_type,sensitive_skin_type,wrinkles_skincare_concerns,dryness_skincare_concerns,dark_circles_skincare_concerns,uneven_tone_skincare_concerns,loss_of_firmness_skincare_concerns,acne_skincare_concerns,dark_spots_skincare_concerns,targets_signs_of_aging_skincare_concerns,puffiness_skincare_concerns,lightweight_liquid_skincare_concerns,uneven_texture_skincare_concerns,redness_skincare_concerns,oiliness_skincare_concerns,makeup_removal_skincare_concerns,pores_skincare_concerns,from_famous_brand
65,https://www.sephora.com/product/laneige-radian-c-cream-with-vitamin-c-P466134?icid2=products grid:p466134,4.5,0,0,0,0,1,1,35.0,1,8,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
66,https://www.sephora.com/product/genius-ultimate-anti-aging-cream-P384537?icid2=products grid:p384537,4.5,0,0,0,0,1,1,112.0,1,7,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
67,https://www.sephora.com/product/the-method-nourish-blemish-control-P399745?icid2=products grid:p399745,4.0,0,0,0,0,0,1,100.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,https://www.sephora.com/product/coq-10-toner-P432272?icid2=products grid:p432272,4.5,1,1,0,1,0,1,34.0,1,6,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
69,https://www.sephora.com/product/gentle-daily-wash-P232902?icid2=products grid:p232902,4.0,0,0,0,0,0,0,40.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,https://www.sephora.com/product/otzi-hydro-crystal-lightweight-gel-moisturizer-P467135?icid2=products grid:p467135,4.5,1,1,0,1,1,1,28.0,1,7,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
71,https://www.sephora.com/product/micellar-magic-makeup-remover-cleanser-P441841?icid2=products grid:p441841,3.5,1,1,0,1,0,1,18.0,2,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,https://www.sephora.com/product/the-essential-creme-fluid-P416953?icid2=products grid:p416953,4.0,0,0,0,0,0,0,98.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,https://www.sephora.com/product/mario-badescu-hyaluronic-dew-cream-P460756?icid2=products grid:p460756,3.0,0,1,0,0,0,1,26.0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
74,https://www.sephora.com/product/lancer-method-intro-kit-normal-combo-skin-P464783?icid2=products grid:p464783,4.5,0,0,0,0,1,1,60.0,1,6,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
75,https://www.sephora.com/product/moisturizing-hand-cream-P420141?icid2=products grid:p420141,3.5,0,0,0,0,1,1,14.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,https://www.sephora.com/product/dramatically-different-hydrating-jelly-P432828?icid2=products grid:p432828,4.0,0,0,0,0,1,1,5.5,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,https://www.sephora.com/product/essential-hydration-cream-P442543?icid2=products grid:p442543,4.5,0,1,0,1,0,1,42.0,1,6,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,https://www.sephora.com/product/summer-fridays-cloud-dew-oil-free-gel-cream-P466153?icid2=products grid:p466153,4.5,1,1,0,1,0,1,42.0,1,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,https://www.sephora.com/product/repairative-moisturizer-P379709?icid2=products grid:p379709,3.5,0,1,0,1,0,1,116.0,1,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,https://www.sephora.com/product/capture-dreamskin-fresh-perfect-cushion-broad-spectrum-spf-50-P435806?icid2=products grid:p435806,4.0,0,0,0,0,0,1,82.0,1,4,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
